@RELATION ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
mc2022_track1_000.dimacs,1,gpmc_r2/track1,0.022,ok
mc2022_track1_000.dimacs,1,gpmc/track1,0.005,ok
mc2022_track1_000.dimacs,1,ExactMC/ExactMC_Arjun.sh,0.262,ok
mc2022_track1_000.dimacs,1,dpmcpre/1pre1mp0,0.074,ok
mc2022_track1_000.dimacs,1,dpmcpre/1pre1mp1,0.045,ok
mc2022_track1_000.dimacs,1,Narsimha-track1v-51fd045537919d/track1_conf1.sh,0.04,ok
mc2022_track1_000.dimacs,1,Narsimha-track1v-51fd045537919d/track1_conf2.sh,0.038,ok
mc2022_track1_000.dimacs,1,TwG/1.sh,0.009,ok
mc2022_track1_000.dimacs,1,d4/default.sh,0.023,ok
mc2022_track1_000.dimacs,1,TwG/2.sh,0.01,ok
mc2022_track1_000.dimacs,1,ExactMC/ExactMC_BE.sh,0.235,ok
mc2022_track1_000.dimacs,1,c2d/default,0.04,ok
mc2022_track1_000.dimacs,1,Narsimha-track1v-7112ef8eb466e9475/track1_conf2.sh,0.038,ok
mc2022_track1_000.dimacs,1,Narsimha-track1v-7112ef8eb466e9475/track1_conf1.sh,0.038,ok
mc2022_track1_000.dimacs,1,SharpSAT-TD-unweighted/default,0.014,ok
mc2022_track1_000.dimacs,1,mtmc/default,32.588,ok
mc2022_track1_002.dimacs,1,dpmcpre/1pre1mp0,0.087,ok
mc2022_track1_002.dimacs,1,dpmcpre/1pre1mp1,0.048,ok
mc2022_track1_002.dimacs,1,Narsimha-track1v-51fd045537919d/track1_conf1.sh,0.051,ok
mc2022_track1_002.dimacs,1,Narsimha-track1v-51fd045537919d/track1_conf2.sh,0.047,ok
mc2022_track1_002.dimacs,1,TwG/1.sh,3600.01,timeout
mc2022_track1_002.dimacs,1,d4/default.sh,0.302,ok
mc2022_track1_002.dimacs,1,TwG/2.sh,3650.01,crash
mc2022_track1_002.dimacs,1,ExactMC/ExactMC_BE.sh,0.865,ok
mc2022_track1_002.dimacs,1,c2d/default,3650.01,crash
mc2022_track1_002.dimacs,1,Narsimha-track1v-7112ef8eb466e9475/track1_conf2.sh,0.688,ok
mc2022_track1_002.dimacs,1,Narsimha-track1v-7112ef8eb466e9475/track1_conf1.sh,0.067,ok
mc2022_track1_002.dimacs,1,SharpSAT-TD-unweighted/default,0.179,ok
